sample_name,individual,age,time_unit,developmental_stage,sex,tissue,cell_type
FCA14_Female_head_adult_5dWT_Luo_sample5_S5,S5,5,day,adult,female,head,NA
FCA5_Male_Adult_Head2_S2,S2,5,day,adult,male,head,NA
FCA1_Head_S1,S1,5,day,adult,mixed,head,NA
FCA7_Female_Adult_Head1_S4,S4,5,day,adult,female,head,NA
FCA8_Female_Adult_Head2_S5,S5,5,day,adult,female,head,NA
FCA9_Female_Adult_Head3_S6,S6,5,day,adult,female,head,NA
FCA10_Male_head_adult_5dWT_Luo_sample4_S1,S1,5,day,adult,male,head,NA
FCA11_Male_head_adult_5dWT_Luo_sample5_S2,S2,5,day,adult,male,head,NA
FCA12_Male_head_adult_5dWT_Luo_sample6_S3,S3,5,day,adult,male,head,NA
FCA15_Female_head_adult_5dWT_Luo_sample6_S6,S6,5,day,adult,female,head,NA
FCA13_Female_head_adult_5dWT_Luo_sample4_S4,S4,5,day,adult,female,head,NA
FCA4_Male_Adult_Head1_S1,S1,5,day,adult,male,head,NA
FCA6_Male_Adult_Head3_S3,S3,5,day,adult,male,head,NA
FCA62_Female_ovary_adult_5dWT_Nystul_All_Nuclei_S57,S57,5,day,adult,female,ovary,NA
FCA62_Female_ovary_adult_5dWT_Nystul_All_Nuclei_S62,S62,5,day,adult,female,ovary,NA
FCA62_Female_ovary_adult_5dWT_Nystul_All_Nuclei_S58,S58,5,day,adult,female,ovary,NA
FCA62_Female_ovary_adult_5dWT_Nystul_All_Nuclei_S63,S63,5,day,adult,female,ovary,NA
FCA63_Female_ovary_adult_5dWT_Nystul_Big_Nuclei_S64,S64,5,day,adult,femal,ovary,NA
FCA63_Female_ovary_adult_5dWT_Nystul_Big_Nuclei_S66,S66,5,day,adult,femal,ovary,NA
FCA63_Female_ovary_adult_5dWT_Nystul_Big_Nuclei_S71,S71,5,day,adult,femal,ovary,NA
FCA63_Female_ovary_adult_5dWT_Nystul_Big_Nuclei_S72,S72,5,day,adult,femal,ovary,NA
FCA59_Male_testis_adult_1dWT_Fuller_sample1_S48,S48,1,day,adult,male,testis,NA
FCA59_Male_testis_adult_1dWT_Fuller_sample1_S56,S56,1,day,adult,male,testis,NA
FCA60_Male_testis_adult_1dWT_Fuller_sample2_S61,S61,1,day,adult,male,testis,NA
FCA60_Male_testis_adult_1dWT_Fuller_sample2_S70,S70,1,day,adult,male,testis,NA
FCA61_Male_testis_adult_1dWT_Fuller_sample3_S65,S65,1,day,adult,male,testis,NA
FCA61_Male_testis_adult_1dWT_Fuller_sample3_S69,S69,1,day,adult,male,testis,NA
FCA59_Male_testis_adult_1dWT_Fuller_sample1_S44,S44,1,day,adult,male,testis,NA
FCA59_Male_testis_adult_1dWT_Fuller_sample1_S49,S49,1,day,adult,male,testis,NA
FCA60_Male_testis_adult_1dWT_Fuller_sample2_S59,S59,1,day,adult,male,testis,NA
FCA60_Male_testis_adult_1dWT_Fuller_sample2_S67,S67,1,day,adult,male,testis,NA
FCA61_Male_testis_adult_1dWT_Fuller_sample3_S60,S60,1,day,adult,male,testis,NA
FCA61_Male_testis_adult_1dWT_Fuller_sample3_S68,S68,1,day,adult,male,testis,NA
